name,price,old_price,link,image,discount,phase,site
Sticker | Team LDLC.com (Holo) | Katowice 2014,R$ 113Â 657.92,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRYQV_bRvCiwMbQVg8kdFAYur6pKDho3P_HPzgTtI-wx9LelPT1a-qIkD8C65Yh3LuZod_x3AzlrxE_ZDv6JNLEcQUgIQaH6buXiJw,,,CS.Money
FN,R$ 252Â 573.26,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOT1I6vZn3lU18hwmOvN8IXvjVCLqSwwOj6rYJiTdQE7NQuEqFS7x7q9hpHovZrPmnpq6HJ24XmJzUDjgBpOarBug_fKVxzAUBpccViW,,,CS.Money
ST,R$ 397Â 802.93,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/emskatowice2014/ibuypower_holo.95b031cd57d417d5859e322f8dfa90232eae3dda.png,,,CS.Money
ST,R$ 1Â 572.69,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/sha2024/sig_donk_champion.decf3cc7037693654d6c38ac3d1dad46550213ce.png,,,CS.Money
ST,R$ 1Â 669.98,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/illuminate_capsule_01/koi_2_foil.db26c2cc9368efab03eabe80cf99bca380f1aefb.png,,,CS.Money
ST,R$ 1Â 678.27,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWdY781lxLuXpdih2lLl-UI6Nm-mI4DDdlM7Zl3XqwK2w-_m1MXouJXByHE16yM8pSGKfv1bl08,,,CS.Money
ST,R$ 1Â 789.37,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWdY781lxLuW8Njw31Dn8xc_YTqmJ4DDJFM2ZwqE_ATtx-u7g8C5vpjOzHM263E8pSGKJ1XuG9M,,,CS.Money
ST,R$ 1Â 927.92,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/astr_holo.7feb43b4b93da8cd8f91ff3d6550c654b99e8930.png,,,CS.Money
ST,R$ 2Â 045.79,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/krakow2017/sig_pasha_foil.9b260fe2a95832b7e02cd0719f531c305c82a22a.png,,,CS.Money
ST,R$ 2Â 980.74,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_niko_gold.cddaadf517737f5cb292d29f6195af1eff1812fd.png,,,CS.Money
ST,R$ 3Â 693.88,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWdY781lxLuXpdih2lLl-UI6Nm-mI4DDdlM7Zl3XqwK2w-_m1MXouJXByHE16yM8pSGKfv1bl08,,,CS.Money
ST,R$ 18Â 310.30,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/eslkatowice2015/voxeminor_holo.695e82b971a2e9be9fd9e6668a67fcdfb1b610f6.png,,,CS.Money
ST,R$ 312Â 559.39,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/emskatowice2014/voxeminor_holo.e7b8db9cf0ec75282a657aec985133afe499710c.png,,,CS.Money
